Name,Age,Sex,10th%,Maths,Science,Social Studies,English,Hindi,Extracurricular Activities,Interests,Hobbies,Certifications
Aryan,16,Male,95,92,93,94,95,96,"Debate, Music Club, Football","Science, Technology, Mathematics","Cricket, Reading, Programming",Excel Expert
Aditi,15,Female,94,91,92,93,94,95,"Dance Club, Art Club, Dramatics","Arts, Literature, History","Painting, Dancing, Writing",Adobe Photoshop Certified
Rajeev,17,Male,92,90,91,92,93,94,"Quiz Club, Science Olympiad, Chess Club","Math, Physics, Chemistry","Chess, Puzzles, Sudoku",Google Certified Educator (Level 1)
Priya,16,Female,93,91,92,93,94,95,"Sports Club, Environmental Club, Social Service Club","Social Sciences, Environmental Studies, Community Development","Volunteering, Photography, Hiking","Microsoft Office Specialist (Word, Excel, PowerPoint)"
Rohit,15,Male,90,88,89,90,91,92,"Music Club, Drama Club, Literature Club","Music, Theater, Writing","Singing, Playing Guitar, Creative Writing",Google Digital Skills for Entrepreneurs Certificate
Anjali,16,Female,91,89,90,91,92,93,"Debate Club, Quiz Club, Public Speaking Club","Current Affairs, Politics, Economics","Debating, Public Speaking, Reading",Toastmasters International Certified Speaker
Rahul,17,Male,95,93,94,95,96,97,"Sports Club, Science Olympiad, Computer Club","Robotics, Artificial Intelligence, Programming","Robotics, Coding, Playing Basketball",Cisco Certified Network Associate (CCNA)
Priyanka,16,Female,94,92,93,94,95,96,"Dance Club, Art Club, Yoga Club","Art, Design, Fashion","Dancing, Painting, Sketching",Certified Fashion Designer
Vivek,15,Male,92,90,91,92,93,94,"Music Club, Drama Club, Film Club","Music, Filmmaking, Photography","Playing Piano, Filmmaking, Photography",Adobe Premiere Pro Certified
Sonia,16,Female,93,91,92,93,94,95,"Debate Club, Quiz Club, Model United Nations","International Relations, Diplomacy, Public Policy","Debating, Public Speaking, MUN",Harvard Model United Nations Delegate
John Doe,15,M,85,90,88,82,85,80,"Football, Debate Club","Programming, Robotics","Reading, Playing Games",First Aid Certification
Jane Doe,16,F,90,95,92,90,95,95,"Music Club, Volunteering","Photography, Environmentalism","Baking, Dancing",Swimming Certification
Alice Smith,17,F,88,92,90,84,88,86,"Drama Club, Art Club","Acting, Painting","Drawing, Singing",CPR Certification
David Brown,16,M,92,94,96,88,90,92,"Basketball Team, Science Club","Chemistry, Physics","Astronomy, Video Games",Robotics Certification
